TYPE,DESCRIPTION,USEFUL_YEAR,ACTIVE
LOAI_DAT_CHI_TIET,ĐẤT SẢN XUẤT KINH DOANH TẠI NÔNG THÔN,,1
LOAI_DAT_CHI_TIET,ĐẤT SẢN XUẤT KINH DOANH TẠI ĐÔ THỊ,,1
LOAI_DAT_CHI_TIET,ĐẤT KHU CÔNG NGHIỆP,,1
LOAI_DAT_CHI_TIET,ĐẤT CỤM CÔNG NGHIỆP,,1
LOAI_DAT_CHI_TIET,"ĐẤT TẠI CÁC ĐẢO, CÙ LAO - ĐẤT NÔNG NGHIỆP",,1
LOAI_DAT_CHI_TIET,"ĐẤT TẠI CÁC ĐẢO, CÙ LAO - ĐẤT Ở",,1
LOAI_DAT_CHI_TIET,"ĐẤT TẠI CÁC ĐẢO, CÙ LAO - ĐẤT THƯƠNG MẠI DỊCH VỤ",,1
LOAI_DAT_CHI_TIET,"ĐẤT TẠI CÁC ĐẢO, CÙ LAO - ĐẤT SẢN XUẤT KINH DOANH PHI NÔNG NGHIỆP",,1
LOAI_GIAO_DICH,ĐÃ BÁN,,1
LOAI_GIAO_DICH,ĐANG RAO BÁN,,1
LOAI_GIAO_DICH,ĐÃ CHO THUÊ,,1
LOAI_GIAO_DICH,ĐANG RAO CHO THUÊ,,1
DIA_HINH,BẰNG PHẲNG,,1
DIA_HINH,TRŨNG THẤP,,1
DIA_HINH,TRIỀN DỐC,,1
DIA_HINH,AO/HỒ,,1
VI_TRI_DAT,VỊ TRÍ 1,,1
VI_TRI_DAT,VỊ TRÍ 2,,1
VI_TRI_DAT,VỊ TRÍ 3,,1
VI_TRI_DAT,VỊ TRÍ 4,,1
HUONG_CAN_HO,CHÍNH ĐÔNG,,1
HUONG_CAN_HO,ĐÔNG NAM,,1
HUONG_CAN_HO,ĐÔNG BẮC,,1
HUONG_CAN_HO,CHÍNH TÂY,,1
HUONG_CAN_HO,TÂY NAM,,1
HUONG_CAN_HO,CHÍNH BẮC,,1
CHAT_LUONG_NOI_THAT,KÉM,,1
CHAT_LUONG_NOI_THAT,TRUNG BÌNH,,1
CHAT_LUONG_NOI_THAT,TƯƠNG ĐỐI TỐT,,1
CHAT_LUONG_NOI_THAT,TỐT,,1
CHAT_LUONG_NOI_THAT,RẤT TỐT,,1
TIEN_ICH_CO_BAN,Trường mẫu giáo,,1
TIEN_ICH_CO_BAN,Trường liên cấp 1, 2, 3,,1
TIEN_ICH_CO_BAN,Công viên,,1
TIEN_ICH_CO_BAN,Hồ bơi,,1
TIEN_ICH_CO_BAN,Siêu thị,,1
TIEN_ICH_CO_BAN,Khu thể thao,,1
TIEN_ICH_CO_BAN,Bệnh viện,,1
TIEN_ICH_CO_BAN,Khu sinh hoạt cộng đồng,,1
"CAP_NHA",<4
"HANG_NHA",1
"HANG_NHA",2
"HANG_NHA",3
"HANG_NHA",4
"CAU_TRUC_BIET_THU",Trệt
"CAU_TRUC_BIET_THU",Lầu
"CAU_TRUC_NHA_XUONG",0
"CAU_TRUC_NHA_XUONG",5
"CAU_TRUC_NHA_XUONG",10
"KHAU_DO",12
"KHAU_DO",15
"KHAU_DO",18
"KHAU_DO",24
"KHAU_DO",30
"LOAI_NHA_MAY","Tường gạch thu hồi mái ngói"
"LOAI_NHA_MAY","Tường gạch thu hồi mái tôn"
"LOAI_NHA_MAY","Tường gạch, bổ trụ, kèo thép, mái tôn"
"LOAI_NHA_MAY","Tường gạch, mái bằng"
"LOAI_NHA_MAY","Cột bê tông, kèo thép, tường gạch, mái tôn"
"LOAI_NHA_MAY","Cột kèo bê tông, tường gạch, mái tôn"
"LOAI_NHA_MAY","Cột kèo thép, tường gạch, mái tôn"
"LOAI_NHA_MAY","Cột bê tông kèo thép, tường gạch, mái tôn"
"LOAI_NHA_MAY","Cột kèo thép, tường bao che tôn, mái tôn"
"LOAI_NHA_MAY","Cột bê tông, kèo thép liền nhịp, tường gạch, mái tôn"
"LOAI_NHA_MAY","Cột kèo thép liền nhịp, tường gạch, mái tôn"
"LOAI_NHA_MAY","Cột bê tông, kèo thép, mái tôn"
"LOAI_NHA_MAY","Cột kèo thép liền nhịp, tường bao che bằng tôn, mái tôn"
