id,name,district_id,active
201,"Vĩnh Phú",43,1
202,"Lạc Quới",53,1
203,"Thị trấn Mỹ Luông",32,1
204,"Phú Thành",39,1
205,"Phường Hòa Phú",2,1
206,"Tân Lợi",50,1
207,"Vọng Đông",43,1
208,"Phường Phú Cường",2,1
209,"Phú Thạnh",39,1
210,"Lê Trì",53,1
211,"Thới Sơn",50,1
212,"Vọng Thê",43,1
213,"Phường Bình An",10,1
214,"Phú Thọ",39,1
215,"Phường Phú Hòa",2,1
216,"Lương An Trà",53,1
217,"PhườngBình Thắng",10,1
218,"Vọng Thê",43,1
219,"Văn Giáo",50,1
220,"Phú Xuân",39,1
221,"Lương Phi",53,1
222,"Phường Phú Lợi",2,1
223,"Thị trấn Phú Hòa",43,1
224,"Vĩnh Trung",50,1
225,"PhườngDĩ An",10,1
226,"Phường Phú Mỹ",2,1
227,"Núi Tô",53,1
228,"Tân Hòa",39,1
229,"Phường Phú Tân",2,1
230,"Thị trấn Núi Sập",43,1
231,"PhườngĐông Hòa",10,1
232,"Thị trấn Chi Lăng",50,1
233,"Tân Trung",39,1
234,"Tà Đảnh",53,1
235,"Thị trấn Nhà Bàng",50,1
236,"Phường Phú Thọ",2,1
237,"PhườngTân Bình",10,1
238,"Thị trấn Ốc Eo",43,1
239,"Thị trấn Chợ Vàm",39,1
240,"Tân Tuyến",53,1
241,"Phường Tân An",2,1
242," PhườngTân Đông Hiệp",10,1
243,"Thị trấn Tịnh Biên",50,1
244,"Định Mỹ",43,1
245,"Thị trấn Phú Mỹ",39,1
246,"Vĩnh Gia",53,1
247,"Định Thành",43,1
248,"Phường Tương Bình Hiệp",2,1
249,"Vĩnh Phước",53,1
250,"PhườngThái Hòa",16,1
251,"Tân Mỹ",22,1
252,"Lai Uyên ",28,1
253,"Thường Tân",22,1
254,"Ô Lâm",53,1
255,"PhườngThạnh Phước",16,1
256,"An Lập",34,1
257,"Thị trấn Phước Vĩnh",40,1
258,"Cây Trường II",28,1
259,"Thị trấn Dầu Tiếng",34,1
260,"PhườngUyên Hưng",16,1
261,"Thị trấn Ba Chúc",53,1
262,"Tân Thành",22,1
263,"Hưng Hòa",28,1
264,"An Bình",40,1
265,"Bạch Đằng",16,1
266,"Bình Mỹ",22,1
