id,name,new_name,distance,ward_id,district_id,province_id,created_at,updated_at,deleted_at
51528,Nguyễn Bỉnh Khiêm,Đường Nguyễn Bỉnh Khiêm,,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51579,Võ Thị Tám,Đường Võ Thị Tám,,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51580,Ngô Thì Nhậm,Đường Ngô Thì Nhậm,,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51581,Thân Nhân Trung,Đường Thân Nhân Trung,Đoạn từ đường Nguyễn Ái Quốc đến suối Săn Máu,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51581,Thân Nhân Trung,Đường Thân Nhân Trung,Đoạn từ suối Săn Máu đến đường Nguyễn Thái Học,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51582,Tô Hiến Thành,Đường Tô Hiến Thành,,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51583,Lê Đại Hành,Đường Lê Đại Hành,,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51634,Trần Thị Hoa,Đường Trần Thị Hoa,,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51635,Lê Thị Vân,Đường Lê Thị Vân,,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51636,Nguyễn Thông,Đường Nguyễn Thông,,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51637,Trương Văn Hải,Đường Trương Văn Hải,,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51638,Võ Nguyên Giáp (đoạn từ Quốc lộ 51 đến Bùi Văn Hòa),,,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51689,"Đường liên khu phố 6, 7, 8","Đường liên khu phố 6,7,8 (phường Tam Hiệp)",,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51690,Tân Lập,Đường Tân Lập,,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51691,Đa Minh,Đường Đa Minh,,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51692,Đường Trạm Thuế khu vực 2,Đường Trạm thuế khu vực 2 (phường Tam Hiệp),,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51693,"Đường liên khu 3, 4, 5","Đường liên khu 3,4,5 (phường Long Bình)",,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51742,Ngô Xá (phường Tân Hòa),Đường Ngô Xá (phường Tân Hòa),,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51743,Quốc lộ 1K,,,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51744,ĐT 16,,,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51745,HL 11,,,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51746,Quốc lộ 15,,,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51792,Đặng Văn Trơn,Đường Đặng Văn Trơn,Đoạn tiếp theo tới sông Cái,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51792,Đặng Văn Trơn,Đường Đặng Văn Trơn,Đoạn từ đường Đỗ Văn Thi đến đường rẽ lên cầu Bửu Hòa,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51793,Đường số 1,,,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51794,Đường số 2,,,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51795,Đường số 3,,,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51796,Đường số 4,,,NULL,432,45,2021-09-06 17:37:49,2021-09-06 17:37:49,NULL
51842,Đường số 5,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
51843,Đường số 6,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
51844,Đường số 7,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
51845,Đường số 8,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
51846,Đường số 9,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
51887,Đường số 10,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
51888,Đường 1A,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
51889,Đường 2A,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
51890,Đường 3A,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
51891,Đường 4A,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
51932,Đường 5A,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
51933,Đường 6A,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
51934,Đường 7A,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
51935,Đường 8A,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
51936,Đường 9A,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
51977,Đường 10A,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
51978,Đường 11A,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
51979,Đường 12A,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
51980,Đường 13A,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
51981,Đường 14A,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52022,Đường 15A,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52023,Đường 16A,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52024,Đường 17A,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52025,Đường 18A,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52026,Đường 19A,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52063,Đường 20A,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52064,Đường số 11,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52065,Đường số 12,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52066,Đường số 13,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52067,Đường số 14,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52094,Đường số 15,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52095,An Bình,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52096,Đường KP Long Điềm,,,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52097,Hương lộ 2,Hương lộ 2,Đoạn còn lại,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52097,Hương lộ 2,Hương lộ 2,Đoạn từ cầu Cây Ngã đến cầu Vấp,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
52097,Hương lộ 2,Hương lộ 2,Đoạn từ cầu Sắt đến cầu Cây Ngã,NULL,432,45,2021-09-06 17:37:50,2021-09-06 17:37:50,NULL
