type,appraise_title,appraise_point,asset_title,asset_point,adjust_percent
GIAO_THONG,GẦN TRỤC ĐƯỜNG CHÍNH,100,XA TRỤC ĐƯỜNG CHÍNH,80,20
GIAO_THONG,GẦN TRỤC ĐƯỜNG CHÍNH,100,ĐẤU NỐI TRỰC TIẾP ĐƯỜNG CHÍNH,100,0
GIAO_THONG,GẦN TRỤC ĐƯỜNG CHÍNH,100,KHÔNG ĐẤU NỐI ĐƯỜNG CHÍNH,80,20
GIAO_THONG,XA TRỤC ĐƯỜNG CHÍNH,80,GẦN TRỤC ĐƯỜNG CHÍNH,100,-20
GIAO_THONG,XA TRỤC ĐƯỜNG CHÍNH,80,XA TRỤC ĐƯỜNG CHÍNH,80,0
GIAO_THONG,XA TRỤC ĐƯỜNG CHÍNH,80,ĐẤU NỐI TRỰC TIẾP ĐƯỜNG CHÍNH,100,-20
GIAO_THONG,XA TRỤC ĐƯỜNG CHÍNH,80,KHÔNG ĐẤU NỐI ĐƯỜNG CHÍNH,80,0
GIAO_THONG,ĐẤU NỐI TRỰC TIẾP ĐƯỜNG CHÍNH,100,GẦN TRỤC ĐƯỜNG CHÍNH,100,0
GIAO_THONG,ĐẤU NỐI TRỰC TIẾP ĐƯỜNG CHÍNH,100,XA TRỤC ĐƯỜNG CHÍNH,80,20
GIAO_THONG,ĐẤU NỐI TRỰC TIẾP ĐƯỜNG CHÍNH,100,ĐẤU NỐI TRỰC TIẾP ĐƯỜNG CHÍNH,100,0
GIAO_THONG,ĐẤU NỐI TRỰC TIẾP ĐƯỜNG CHÍNH,100,KHÔNG ĐẤU NỐI ĐƯỜNG CHÍNH,80,20
GIAO_THONG,KHÔNG ĐẤU NỐI ĐƯỜNG CHÍNH,80,GẦN TRỤC ĐƯỜNG CHÍNH,100,-20
GIAO_THONG,KHÔNG ĐẤU NỐI ĐƯỜNG CHÍNH,80,XA TRỤC ĐƯỜNG CHÍNH,80,0
GIAO_THONG,KHÔNG ĐẤU NỐI ĐƯỜNG CHÍNH,80,ĐẤU NỐI TRỰC TIẾP ĐƯỜNG CHÍNH,100,-20
GIAO_THONG,KHÔNG ĐẤU NỐI ĐƯỜNG CHÍNH,80,KHÔNG ĐẤU NỐI ĐƯỜNG CHÍNH,80,0
KINH_DOANH,KHU VỰC THUẬN LỢI KINH DOANH,100,KHU VỰC THUẬN LỢI KINH DOANH,100,0
KINH_DOANH,KHU VỰC THUẬN LỢI KINH DOANH,100,KHU VỰC CÓ THỂ KINH DOANH,90,10
KINH_DOANH,KHU VỰC THUẬN LỢI KINH DOANH,100,KHU VỰC KHÔNG THUẬN LỢI KINH DOANH,80,20
KINH_DOANH,KHU VỰC CÓ THỂ KINH DOANH,90,KHU VỰC THUẬN LỢI KINH DOANH,100,-10
KINH_DOANH,KHU VỰC CÓ THỂ KINH DOANH,90,KHU VỰC CÓ THỂ KINH DOANH,90,0
KINH_DOANH,KHU VỰC CÓ THỂ KINH DOANH,90,KHU VỰC KHÔNG THUẬN LỢI KINH DOANH,80,10
KINH_DOANH,KHU VỰC KHÔNG THUẬN LỢI KINH DOANH,80,KHU VỰC THUẬN LỢI KINH DOANH,100,-20
KINH_DOANH,KHU VỰC KHÔNG THUẬN LỢI KINH DOANH,80,KHU VỰC CÓ THỂ KINH DOANH,90,-10
KINH_DOANH,KHU VỰC KHÔNG THUẬN LỢI KINH DOANH,80,KHU VỰC KHÔNG THUẬN LỢI KINH DOANH,80,0
DIEU_KIEN_HA_TANG,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",100,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",100,0
DIEU_KIEN_HA_TANG,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",100,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",90,10
DIEU_KIEN_HA_TANG,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",100,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",90,10
DIEU_KIEN_HA_TANG,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",100,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",80,20
DIEU_KIEN_HA_TANG,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",90,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",100,-10
DIEU_KIEN_HA_TANG,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",90,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",90,0
DIEU_KIEN_HA_TANG,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",90,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",90,0
DIEU_KIEN_HA_TANG,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",90,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",80,10
DIEU_KIEN_HA_TANG,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",90,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",100,-10
DIEU_KIEN_HA_TANG,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",90,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",90,0
DIEU_KIEN_HA_TANG,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",90,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",90,0
DIEU_KIEN_HA_TANG,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",90,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",80,10
DIEU_KIEN_HA_TANG,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",80,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",100,-20
DIEU_KIEN_HA_TANG,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",80,"ĐIỆN ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",90,-10
DIEU_KIEN_HA_TANG,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",80,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC TỐT",90,-10
DIEU_KIEN_HA_TANG,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",80,"ĐIỆN KHÔNG ỔN ĐỊNH, CẤP THOÁT NƯỚC KÉM",80,0
AN_NINH_MOI_TRUONG_SONG,"AN NINH, MÔI TRƯỜNG SỐNG TỐT",100,"AN NINH, MÔI TRƯỜNG SỐNG TỐT",100,0
AN_NINH_MOI_TRUONG_SONG,"AN NINH, MÔI TRƯỜNG SỐNG TỐT",100,"AN NINH, MÔI TRƯỜNG SỐNG KÉM",80,20
AN_NINH_MOI_TRUONG_SONG,"AN NINH, MÔI TRƯỜNG SỐNG TỐT",100,"KHU VỰC Ô NHIỄM, KHÓI BỤI",80,20
AN_NINH_MOI_TRUONG_SONG,"AN NINH, MÔI TRƯỜNG SỐNG TỐT",100,GẦN NGHĨA TRANG,80,20
AN_NINH_MOI_TRUONG_SONG,"AN NINH, MÔI TRƯỜNG SỐNG KÉM",80,"AN NINH, MÔI TRƯỜNG SỐNG TỐT",100,-20
AN_NINH_MOI_TRUONG_SONG,"AN NINH, MÔI TRƯỜNG SỐNG KÉM",80,"AN NINH, MÔI TRƯỜNG SỐNG KÉM",80,0
AN_NINH_MOI_TRUONG_SONG,"AN NINH, MÔI TRƯỜNG SỐNG KÉM",80,"KHU VỰC Ô NHIỄM, KHÓI BỤI",80,0
AN_NINH_MOI_TRUONG_SONG,"AN NINH, MÔI TRƯỜNG SỐNG KÉM",80,GẦN NGHĨA TRANG,80,0
AN_NINH_MOI_TRUONG_SONG,"KHU VỰC Ô NHIỄM, KHÓI BỤI",80,"AN NINH, MÔI TRƯỜNG SỐNG TỐT",100,-20
AN_NINH_MOI_TRUONG_SONG,"KHU VỰC Ô NHIỄM, KHÓI BỤI",80,"AN NINH, MÔI TRƯỜNG SỐNG KÉM",80,0
AN_NINH_MOI_TRUONG_SONG,"KHU VỰC Ô NHIỄM, KHÓI BỤI",80,"KHU VỰC Ô NHIỄM, KHÓI BỤI",80,0
AN_NINH_MOI_TRUONG_SONG,"KHU VỰC Ô NHIỄM, KHÓI BỤI",80,GẦN NGHĨA TRANG,80,0
AN_NINH_MOI_TRUONG_SONG,GẦN NGHĨA TRANG,80,"AN NINH, MÔI TRƯỜNG SỐNG TỐT",100,-20
AN_NINH_MOI_TRUONG_SONG,GẦN NGHĨA TRANG,80,"AN NINH, MÔI TRƯỜNG SỐNG KÉM",80,0
AN_NINH_MOI_TRUONG_SONG,GẦN NGHĨA TRANG,80,"KHU VỰC Ô NHIỄM, KHÓI BỤI",80,0
AN_NINH_MOI_TRUONG_SONG,GẦN NGHĨA TRANG,80,GẦN NGHĨA TRANG,80,0
PHONG_THUY,PHONG THUỶ TỐT,100,PHONG THUỶ TỐT,100,0
PHONG_THUY,PHONG THUỶ TỐT,100,ĐƯỜNG ĐÂM THẲNG VÀO NHÀ,80,20
PHONG_THUY,PHONG THUỶ TỐT,100,GẦN CHÙA,80,20
PHONG_THUY,ĐƯỜNG ĐÂM THẲNG VÀO NHÀ,80,PHONG THUỶ TỐT,100,-20
PHONG_THUY,ĐƯỜNG ĐÂM THẲNG VÀO NHÀ,80,ĐƯỜNG ĐÂM THẲNG VÀO NHÀ,80,0
PHONG_THUY,ĐƯỜNG ĐÂM THẲNG VÀO NHÀ,80,GẦN CHÙA,80,0
PHONG_THUY,GẦN CHÙA,80,PHONG THUỶ TỐT,100,-20
PHONG_THUY,GẦN CHÙA,80,ĐƯỜNG ĐÂM THẲNG VÀO NHÀ,80,0
PHONG_THUY,GẦN CHÙA,80,GẦN CHÙA,80,0
DIEU_KIEN_THANH_TOAN,THANH TOÁN 1 LẦN,100,THANH TOÁN 1 LẦN,100,0
DIEU_KIEN_THANH_TOAN,THANH TOÁN 1 LẦN,100,THANH TOÁN NHIỀU LẦN,90,10
DIEU_KIEN_THANH_TOAN,THANH TOÁN NHIỀU LẦN,90,THANH TOÁN 1 LẦN,100,-10
DIEU_KIEN_THANH_TOAN,THANH TOÁN NHIỀU LẦN,90,THANH TOÁN NHIỀU LẦN,90,0
