IDTSSS,land_type_purpose,total_area,estimation_value,price_land,TotalAmount,UnitPrice
1475,58,80,3500000,"114,210,000","1,836,731,000","11,429,564"
1475,61,80.7,170000,"80,910,000","1,836,731,000","11,429,564"
1504,61,574.4,220000,"110,810,000","6,370,000,000","11,089,833"
1553,81,330,200000,"97,110,000","3,207,375,000","9,719,318"
1555,57,182.5,10000000,"210,810,000","3,848,747,000","21,089,025"
1561,81,197,200000,"66,010,000","1,302,000,000","6,609,137"
1562,81,194,200000,"103,010,000","2,000,000,000","10,309,278"
1564,58,101.7,2000000,"123,610,000","1,258,000,000","12,369,715"
1578,57,62,10000000,"174,110,000","1,080,000,000","17,419,355"
1594,57,300,3206500,"155,410,000","6,095,318,000","15,549,281"
1596,57,80.2,4900000,"183,210,000","1,470,000,000","18,329,177"
1601,57,252,3000000,"169,910,000","4,283,904,000","16,999,619"
1602,61,94.5,410000,"142,510,000","1,347,518,500","14,259,455"
1606,81,583,170000,"38,510,000","2,250,000,000","3,859,348"
1660,62,230.3,160000,"15,110,000","350,000,000","1,519,757"
1671,81,678.4,210000,"39,710,000","2,700,000,000","3,979,953"
1683,57,155,8100000,"267,010,000","4,140,000,000","26,709,677"
1686,58,200,964800,"43,210,000","3,005,063,180","4,329,438"
1686,81,494.1,145000,"35,010,000","3,005,063,180","4,329,438"
1711,62,125,410000,"132,410,000","1,656,200,000","13,249,600"
1714,57,95,4200000,"127,810,000","1,215,000,000","12,789,474"
1734,58,300,3500000,"89,610,000","3,857,000,000","8,969,767"
1734,61,130,200000,"56,610,000","3,857,000,000","8,969,767"
1747,57,200,12000000,"231,210,000","28,172,060,000","23,129,770"
1747,62,1018,430000,"115,510,000","28,172,060,000","23,129,770"
1749,62,1126,430000,"119,810,000","13,500,000,000","11,989,343"
1814,57,99.2,31000000,"705,010,000","6,994,500,000","70,509,073"
1819,61,110,390000,"111,910,000","1,231,930,000","11,199,364"
1821,58,200,10000000,"927,210,000","18,545,865,000","92,729,325"
1832,57,132,3000000,"159,110,000","2,547,140,000","15,919,625"
1832,81,28,370000,"132,810,000","2,547,140,000","15,919,625"
1852,58,111.2,3500000,"126,710,000","1,410,000,000","12,679,856"
1854,58,102.5,3900000,"296,310,000","3,038,000,000","29,639,024"
1869,58,200,3800000,"124,610,000","6,566,460,000","12,469,540"
1869,81,326.6,200000,"88,610,000","6,566,460,000","12,469,540"
1887,57,118.3,15000000,"225,410,000","2,667,599,424","22,549,446"
1889,57,118.3,15000000,"225,410,000","2,667,599,676","22,549,448"
1946,57,50,12000000,"191,810,000","10,481,110,000","19,189,143"
1946,61,496.2,450000,"76,310,000","10,481,110,000","19,189,143"
1949,81,28,390000,"155,310,000","2,323,080,000","18,149,063"
1949,58,100,3000000,"181,410,000","2,323,080,000","18,149,063"
1953,58,300,2300000,"44,010,000","2,460,183,680","4,409,722"
1953,61,257.9,170000,"22,710,000","2,460,183,680","4,409,722"
1967,61,7742.2,130000,"7,510,000","5,880,000,000","759,474"
1975,57,176.4,7000000,"310,010,000","5,470,000,000","31,009,070"
1977,57,76.5,11000000,"300,410,000","2,298,750,000","30,049,020"
1986,58,120,1600000,"67,210,000","807,500,000","6,729,167"
2000,58,93.8,3900000,"191,810,000","1,800,000,000","19,189,765"
2029,58,100,4800000,"157,210,000","4,943,637,000","15,729,039"
2029,61,214.3,210000,"111,310,000","4,943,637,000","15,729,039"
2065,58,135,3400000,"92,510,000","1,250,000,000","9,259,259"
2079,58,200,3500000,"65,810,000","4,639,200,000","6,589,773"
