IDTSSS,land_type_purpose,total_area,estimation_value,price_land,TotalAmount,UnitPrice
5355,81,1044,120000,"9,610,000","1,012,000,000","969,349"
5402,61,2108.1,100000,"4,110,000","883,500,000","419,098"
5405,57,249.8,5000000,"153,710,000","7,792,844,000","15,379,601"
5405,61,256.9,240000,"106,110,000","7,792,844,000","15,379,601"
5421,81,3850,170000,"15,210,000","5,890,000,000","1,529,870"
5438,58,70,3300000,"135,410,000","1,881,979,000","13,549,165"
5438,61,68.9,190000,"104,310,000","1,881,979,000","13,549,165"
5463,57,60,4500000,"254,210,000","1,525,750,000","25,429,167"
5467,57,119,8000000,"246,310,000","2,932,125,000","24,639,706"
5474,57,147.6,10000000,"154,810,000","2,286,250,000","15,489,499"
5482,58,125,3000000,"121,610,000","3,322,153,576","12,169,061"
5482,62,148,170000,"93,310,000","3,322,153,576","12,169,061"
5484,58,80,9000000,"162,110,000","3,341,300,000","16,219,903"
5484,61,126,200000,"74,110,000","3,341,300,000","16,219,903"
5492,58,300,2400000,"118,210,000","4,791,000,000","11,829,630"
5492,62,105,200000,"96,210,000","4,791,000,000","11,829,630"
5497,57,300,480000,"43,810,000","12,452,776,000","4,389,881"
5497,61,2536.7,200000,"41,010,000","12,452,776,000","4,389,881"
5498,61,4118.3,220000,"21,610,000","8,934,000,000","2,169,342"
5500,57,200,2000000,"116,410,000","19,169,080,000","11,649,395"
5500,81,1445.5,240000,"98,810,000","19,169,080,000","11,649,395"
5510,61,47,243000,"123,510,000","2,001,579,000","13,616,184"
5524,62,227.5,240000,"88,010,000","5,715,400,000","11,969,424"
5524,57,250,3400000,"119,610,000","5,715,400,000","11,969,424"
5525,57,515.9,2600000,"106,210,000","5,483,875,000","10,629,725"
5532,58,80,5100000,"352,610,000","3,516,333,000","35,269,137"
5532,62,19.7,210000,"303,710,000","3,516,333,000","35,269,137"
5553,57,60,11000000,"268,310,000","3,891,700,000","26,839,310"
5553,61,85,280000,"161,110,000","3,891,700,000","26,839,310"
5555,57,90.1,29000000,"1,014,910,000","9,145,134,000","101,499,822"
5557,57,65,4000000,"147,710,000","1,773,550,000","14,779,583"
5557,61,55,390000,"111,610,000","1,773,550,000","14,779,583"
5566,57,60,2683000,"109,010,000","2,138,176,000","10,909,061"
5576,58,100,3500000,"105,910,000","1,228,470,000","10,599,396"
5576,61,15.9,200000,"72,910,000","1,228,470,000","10,599,396"
5598,58,253.8,850000,"50,910,000","1,417,111,000","5,099,356"
5598,61,24.1,140000,"43,810,000","1,417,111,000","5,099,356"
5625,57,113.1,4000000,"167,910,000","1,900,000,000","16,799,293"
5642,57,73.9,4600000,"220,210,000","1,628,000,000","22,029,770"
5649,58,300,3300000,"97,110,000","7,980,100,000","9,719,976"
5649,81,521,200000,"66,110,000","7,980,100,000","9,719,976"
5665,58,135,6000000,"172,410,000","4,105,340,000","17,249,328"
5665,61,103,220000,"114,610,000","4,105,340,000","17,249,328"
5686,68,24187.3,0,"35,610,000","86,331,800,000","3,569,303"
5723,58,80,3000000,"231,710,000","3,089,773,000","23,179,092"
5723,62,53.3,190000,"203,610,000","3,089,773,000","23,179,092"
5735,61,51.9,410000,"221,110,000","12,158,303,000","32,709,989"
5735,61,119.8,410000,"221,110,000","12,158,303,000","32,709,989"
5735,57,200,11000000,"327,010,000","12,158,303,000","32,709,989"
5736,57,110,11000000,"496,510,000","6,187,614,000","49,659,823"
5736,61,14.6,410000,"390,610,000","6,187,614,000","49,659,823"
5738,61,366.5,243000,"181,010,000","11,812,380,500","21,226,200"
5739,61,366.5,243000,"181,010,000","11,812,380,500","21,226,200"
5753,57,88.1,11000000,"291,610,000","2,569,850,000","29,169,694"
5764,57,98.6,23000000,"692,610,000","6,830,000,000","69,269,777"
5802,57,370,2400000,"177,210,000","6,560,000,000","17,729,730"
5803,57,69,8000000,"313,310,000","2,162,400,000","31,339,130"
5808,57,65,8000000,"256,010,000","1,664,600,000","25,609,231"
5810,61,540,243000,"79,410,000","6,573,780,000","10,956,300"
5811,57,58.5,8000000,"333,810,000","1,953,300,000","33,389,744"
5814,61,440,243000,"66,710,000","4,843,080,000","9,686,160"
5820,57,322.1,3300000000,"1,079,910,000","34,786,800,000","108,000,000"
5870,57,387.3,38000000,"1,019,510,000","39,489,082,500","101,959,934"
5904,65,526.3,260000,"29,710,000","1,568,000,000","2,979,289"
5907,57,250,1800000,"51,310,000","1,353,704,000","5,139,347"
5907,61,13.4,240000,"35,710,000","1,353,704,000","5,139,347"
5912,57,30,5880000,"115,710,000","17,118,659,200","11,579,180"
5913,61,251.2,292000,"88,410,000","4,348,705,600","14,437,934"
5916,58,300,1300000,"45,610,000","6,234,704,000","4,569,557"
5916,61,1064.4,140000,"34,010,000","6,234,704,000","4,569,557"
5922,62,729,200000,"56,710,000","4,140,000,000","5,679,012"
5950,57,100,3206500,"159,510,000","2,387,615,200","15,959,995"
5951,57,60,3206500,"246,410,000","3,655,451,950","24,649,035"
5989,57,112.5,8000000,"246,710,000","2,776,407,200","24,679,175"
5993,58,202,2400000,"188,110,000","4,239,947,000","18,819,117"
5993,61,23.3,160000,"165,710,000","4,239,947,000","18,819,117"
6002,57,114,23000000,"688,510,000","7,850,000,000","68,859,649"
6010,57,40,1500000,"72,910,000","2,116,750,000","7,299,138"
6011,61,195,243000,"58,410,000","1,670,115,000","7,106,872"
6012,61,256.8,240000,"66,110,000","1,700,000,000","6,619,938"
6044,57,95,2100000,"357,810,000","3,400,000,000","35,789,474"
6081,61,2500,180000,"9,710,000","2,448,000,000","979,200"
6083,61,2036.8,180000,"9,710,000","1,995,000,000","979,478"
6085,61,90,779000,"337,210,000","7,115,215,000","44,470,094"
6105,81,1524,140000,"18,810,000","2,880,000,000","1,889,764"
6114,61,1000.3,180000,"33,210,000","3,330,000,000","3,329,001"
6115,61,1000.1,180000,"33,210,000","3,330,000,000","3,329,667"
6147,57,124.9,4200000,"219,610,000","2,744,000,000","21,969,576"
6158,58,300,5800000,"164,310,000","8,267,327,000","16,439,306"
6158,81,202.9,170000,"108,010,000","8,267,327,000","16,439,306"
6200,61,956,200000,"40,710,000","3,900,000,000","4,079,498"
6206,61,1920.5,130000,"9,410,000","1,824,000,000","949,753"
6254,57,200,10000000,"284,410,000","5,689,935,000","28,449,675"
6259,61,1018,130000,"19,510,000","1,995,000,000","1,959,725"
6270,58,40,1500000,"63,410,000","1,828,600,000","6,349,306"
6329,57,61.4,4200000,"227,110,000","1,395,000,000","22,719,870"
6335,62,177,410000,"101,610,000","1,800,000,000","10,169,492"
6372,61,102,200000,"87,410,000","892,400,000","8,749,020"
6379,81,13819.8,165000,"11,210,000","41,509,333,000","2,964,995"
6397,58,137,2600000,"200,210,000","2,744,000,000","20,029,197"
6398,58,137.5,2600000,"189,010,000","2,600,000,000","18,909,091"
6411,58,130,2200000,"182,610,000","2,375,000,000","18,269,231"
6428,61,64.2,165000,"105,510,000","1,873,794,500","12,994,414"
6441,58,170.5,3500000,"309,010,000","5,270,000,000","30,909,091"
6458,57,105,6000000,"425,710,000","4,470,800,000","42,579,048"
6462,61,70,243000,"84,110,000","1,257,990,000","9,676,846"
6465,58,543,1200000,"44,110,000","2,400,000,000","4,419,890"
6501,57,293,2100000,"275,510,000","8,075,000,000","27,559,727"
6502,57,293,2100000,"275,510,000","8,075,000,000","27,559,727"
6506,61,100,194000,"59,010,000","1,443,100,000","7,215,500"
6507,58,100,1500000,"72,710,000","2,911,800,000","7,279,500"
6521,57,101,4200000,"310,310,000","3,135,000,000","31,039,604"
6525,57,50,3400000,"158,910,000","2,623,430,000","15,899,576"
6538,58,300,576000,"13,010,000","4,712,700,000","1,309,083"
6542,58,188.7,5500000,"160,510,000","3,086,690,000","16,059,781"
6542,61,3.5,160000,"107,110,000","3,086,690,000","16,059,781"
6544,81,1008,190000,"11,410,000","1,159,000,000","1,149,802"
6551,61,1115,220000,"92,610,000","22,002,200,000","15,549,258"
6551,58,300,6500000,"155,410,000","22,002,200,000","15,549,258"
6552,61,1115,220000,"92,610,000","22,002,200,000","15,549,258"
6552,58,300,6500000,"155,410,000","22,002,200,000","15,549,258"
6553,61,762,220000,"125,310,000","17,633,610,000","18,819,221"
6553,58,175,6500000,"188,110,000","17,633,610,000","18,819,221"
6554,61,762,220000,"125,310,000","17,633,610,000","18,819,221"
6554,58,175,6500000,"188,110,000","17,633,610,000","18,819,221"
6570,57,143,13000000,"435,410,000","6,227,625,000","43,549,825"
6571,57,143,13000000,"435,410,000","6,227,625,000","43,549,825"
6593,58,100,1916000,"36,310,000","1,019,000,000","3,639,286"
6593,61,180,116000,"18,310,000","1,019,000,000","3,639,286"
